Date,Clicks,Impressions,CTR,Position
2026-04-06,0,0,,
2026-04-07,0,2,0%,3
2026-04-08,0,3,0%,6
2026-04-09,0,3,0%,8.3
2026-04-10,0,2,0%,7
2026-04-11,1,5,20%,5
2026-04-12,0,1,0%,7
2026-04-13,1,5,20%,6.6
2026-04-14,0,2,0%,7
2026-04-15,0,4,0%,7.2
2026-04-16,1,1,100%,1
2026-04-17,2,5,40%,4
2026-04-18,0,0,,
2026-04-19,1,4,25%,3.8
2026-04-20,0,10,0%,10.1
2026-04-21,1,6,16.67%,5.7
2026-04-22,1,7,14.29%,7
2026-04-23,0,3,0%,4
2026-04-24,2,15,13.33%,2.5
2026-04-25,0,1,0%,1
2026-04-26,0,3,0%,7
2026-04-27,1,10,10%,11.6
2026-04-28,2,48,4.17%,13.5